DATE TIME,HNT
2017-06-19,87.0
2017-06-20,85.0
2017-06-21,82.0
2017-06-22,84.0
2017-06-23,83.0
2017-06-24,81.0
2017-06-25,80.0
2017-06-26,75.0
2017-06-27,74.0
2017-06-28,72.0
2017-06-29,73.0
2017-06-30,78.0
2017-07-01,74.0
2017-07-02,74.0
2017-07-03,76.0
2017-07-04,78.0
2017-07-05,81.0
2017-07-06,82.0
2017-07-07,83.0
2017-07-08,86.0
2017-07-09,82.0
2017-07-10,82.0
2017-07-11,78.0
2017-07-12,77.0
2017-07-13,77.0
2017-07-14,79.0
2017-07-15,79.0
2017-07-16,81.0
2017-07-17,81.0
2017-07-18,78.0
2017-07-19,75.0
2017-07-20,74.0
2017-07-21,74.0
2017-07-22,80.0
2017-07-23,83.0
2017-07-24,76.0
2017-07-25,75.0
2017-07-26,78.0
2017-07-27,79.0
2017-07-28,80.0
2017-07-29,80.0
2017-07-30,80.0
2017-07-31,80.0
2017-08-01,87.0
2017-08-02,79.0
2017-08-03,74.0
2017-08-04,69.0
2017-08-05,72.0
2017-08-06,75.0
2017-08-07,74.0
2017-08-08,76.0
2017-08-09,75.0
2017-08-10,75.0
2017-08-11,78.0
2017-08-12,78.0
2017-08-13,76.0
2017-08-14,69.0
2017-08-15,66.0
2017-08-16,70.0
2017-08-17,77.0
2017-08-18,81.0
2017-08-19,77.0
2017-08-20,76.0
2017-08-21,76.0
2017-08-22,75.0
2017-08-23,78.0
2017-08-24,75.0
2017-08-25,79.0
2017-08-26,83.0
2017-08-27,83.0
2017-08-28,87.0
2017-08-29,86.0
2017-08-30,81.0
2017-08-31,81.0
2017-09-01,81.0
2017-09-02,87.0
2017-09-03,82.0
2017-09-04,78.0
2017-09-05,76.0
2017-09-06,73.0
2017-09-07,69.0
2017-09-08,69.0
2017-09-09,68.0
2017-09-10,74.0
2017-09-11,77.0
2017-09-12,72.0
2017-09-13,67.0
2017-09-14,58.0
2017-09-15,58.0
2017-09-16,67.0
2017-09-17,65.0
2017-09-18,64.0
2017-09-19,59.0
2017-09-20,62.0
2017-09-21,46.0
2017-09-22,46.0
2017-09-23,50.0
2017-09-24,54.0
2017-09-25,58.0
2017-09-26,62.0
2017-09-27,65.0
2017-09-28,66.0
2017-09-29,65.0
2017-09-30,62.0
2017-10-01,60.0
2017-10-02,53.0
2017-10-03,50.0
2017-10-04,58.0
2017-10-05,61.0
2017-10-06,70.0
2017-10-07,71.0
2017-10-08,65.0
2017-10-09,61.0
2017-10-10,60.0
2017-10-11,59.0
2017-10-12,58.0
2017-10-13,60.0
2017-10-14,69.0
2017-10-15,69.0
2017-10-16,70.0
2017-10-17,68.0
2017-10-18,64.0
2017-10-19,59.0
2017-10-20,44.0
2017-10-21,58.0
2017-10-22,66.0
2017-10-23,77.0
2017-10-24,75.0
2017-10-25,69.0
2017-10-26,69.0
2017-10-27,69.0
2017-10-28,71.0
2017-10-29,70.0
2017-10-30,60.0
2017-10-31,59.0
2017-11-01,58.0
2017-11-02,39.0
2017-11-03,38.0
2017-11-04,43.0
2017-11-05,46.0
2017-11-06,48.0
2017-11-07,54.0
2017-11-08,50.0
2017-11-09,51.0
2017-11-10,45.0
2017-11-11,52.0
2017-11-12,55.0
2017-11-13,55.0
2017-11-14,50.0
2017-11-15,52.0
2017-11-16,42.0
