date,total_value
1970-01-01 00:00:00.000000559,
1970-01-01 00:00:00.000000560,
1970-01-01 00:00:00.000000561,
1970-01-01 00:00:00.000000562,
1970-01-01 00:00:00.000000563,
1970-01-01 00:00:00.000000564,
1970-01-01 00:00:00.000000565,
1970-01-01 00:00:00.000000566,
1970-01-01 00:00:00.000000567,
1970-01-01 00:00:00.000000568,
1970-01-01 00:00:00.000000569,
1970-01-01 00:00:00.000000570,
1970-01-01 00:00:00.000000571,
1970-01-01 00:00:00.000000572,
1970-01-01 00:00:00.000000573,
1970-01-01 00:00:00.000000574,
1970-01-01 00:00:00.000000575,
1970-01-01 00:00:00.000000576,
1970-01-01 00:00:00.000000577,
1970-01-01 00:00:00.000000578,
1970-01-01 00:00:00.000000579,
1970-01-01 00:00:00.000000580,
1970-01-01 00:00:00.000000581,
1970-01-01 00:00:00.000000582,
1970-01-01 00:00:00.000000583,
1970-01-01 00:00:00.000000584,
1970-01-01 00:00:00.000000585,
1970-01-01 00:00:00.000000586,
1970-01-01 00:00:00.000000587,
1970-01-01 00:00:00.000000588,
1970-01-01 00:00:00.000000589,
1970-01-01 00:00:00.000000590,
1970-01-01 00:00:00.000000591,
1970-01-01 00:00:00.000000592,
1970-01-01 00:00:00.000000593,
1970-01-01 00:00:00.000000594,
1970-01-01 00:00:00.000000595,
1970-01-01 00:00:00.000000596,
1970-01-01 00:00:00.000000597,
1970-01-01 00:00:00.000000598,
1970-01-01 00:00:00.000000599,
1970-01-01 00:00:00.000000600,
1970-01-01 00:00:00.000000601,
1970-01-01 00:00:00.000000602,
1970-01-01 00:00:00.000000603,
1970-01-01 00:00:00.000000604,
1970-01-01 00:00:00.000000605,
1970-01-01 00:00:00.000000606,
1970-01-01 00:00:00.000000607,
1970-01-01 00:00:00.000000608,
1970-01-01 00:00:00.000000609,
1970-01-01 00:00:00.000000610,
1970-01-01 00:00:00.000000611,
1970-01-01 00:00:00.000000612,
1970-01-01 00:00:00.000000613,
1970-01-01 00:00:00.000000614,
1970-01-01 00:00:00.000000615,
1970-01-01 00:00:00.000000616,
1970-01-01 00:00:00.000000617,
1970-01-01 00:00:00.000000618,
1970-01-01 00:00:00.000000619,
1970-01-01 00:00:00.000000620,
1970-01-01 00:00:00.000000621,
1970-01-01 00:00:00.000000622,
1970-01-01 00:00:00.000000623,
1970-01-01 00:00:00.000000624,
1970-01-01 00:00:00.000000625,
1970-01-01 00:00:00.000000626,
1970-01-01 00:00:00.000000627,
1970-01-01 00:00:00.000000628,
1970-01-01 00:00:00.000000629,
1970-01-01 00:00:00.000000630,
1970-01-01 00:00:00.000000631,
1970-01-01 00:00:00.000000632,
1970-01-01 00:00:00.000000633,
1970-01-01 00:00:00.000000634,
1970-01-01 00:00:00.000000635,
1970-01-01 00:00:00.000000636,
1970-01-01 00:00:00.000000637,
1970-01-01 00:00:00.000000638,
1970-01-01 00:00:00.000000639,
1970-01-01 00:00:00.000000640,
1970-01-01 00:00:00.000000641,
1970-01-01 00:00:00.000000642,
1970-01-01 00:00:00.000000643,
1970-01-01 00:00:00.000000644,
1970-01-01 00:00:00.000000645,
1970-01-01 00:00:00.000000646,
1970-01-01 00:00:00.000000647,
1970-01-01 00:00:00.000000648,
1970-01-01 00:00:00.000000649,
1970-01-01 00:00:00.000000650,
1970-01-01 00:00:00.000000651,
1970-01-01 00:00:00.000000652,
1970-01-01 00:00:00.000000653,
1970-01-01 00:00:00.000000654,
1970-01-01 00:00:00.000000655,
