,timestamp,action,price,size,regime,pnl,exit_reason
170,2024-04-10 13:00:00,BUY,167.47,0.25,bear_high_vol,,
171,2024-04-11 13:00:00,SELL,168.97,,none,37500.0,time_exit
172,2024-04-16 15:00:00,BUY,169.035,0.25,bear_high_vol,,
173,2024-04-17 13:00:00,SELL,169.84,,none,20125.00000000017,signal
174,2024-04-19 13:00:00,BUY,165.3663,0.25,bear_high_vol,,
175,2024-04-22 08:00:00,SELL,165.59,,bear_high_vol,5592.5000000002,time_exit
176,2024-04-22 10:00:00,BUY,165.51,0.25,bear_high_vol,,
177,2024-04-22 13:00:00,SELL,165.835,,bear_high_vol,8125.000000000427,signal
178,2024-05-01 11:00:00,BUY,169.99,0.25,bear_high_vol,,
179,2024-05-01 13:00:00,SELL,170.3299,,bear_high_vol,8497.500000000002,signal
180,2024-05-10 14:00:00,BUY,182.55,0.25,bull_high_vol,,
181,2024-05-13 08:00:00,SELL,184.6,,bear_high_vol,51249.99999999957,time_exit
182,2024-05-22 16:00:00,BUY,191.3,0.25,bear_high_vol,,
183,2024-05-23 16:00:00,SELL,188.79,,bear_high_vol,-62750.00000000048,time_exit
184,2024-05-23 17:00:00,BUY,187.595,0.25,bear_high_vol,,
185,2024-05-24 13:00:00,SELL,188.75,,bear_high_vol,28875.00000000003,signal
186,2024-06-07 12:00:00,BUY,193.72,0.25,bear_high_vol,,
187,2024-06-07 13:00:00,SELL,194.68,,bear_high_vol,24000.0000000002,signal
188,2024-06-10 13:00:00,BUY,195.409,0.25,bull_high_vol,,
189,2024-06-11 13:00:00,SELL,199.13,,bull_high_vol,93025.00000000009,time_exit
190,2024-06-18 15:00:00,BUY,213.59,0.25,bear_high_vol,,
191,2024-06-20 08:00:00,SELL,214.62,,none,25750.00000000003,time_exit
192,2024-06-21 22:00:00,BUY,207.42,0.25,bear_high_vol,,
193,2024-06-24 08:00:00,SELL,207.78,,bear_high_vol,9000.000000000342,time_exit
194,2024-06-24 09:00:00,BUY,207.06,0.25,bear_high_vol,,
195,2024-06-24 13:00:00,SELL,208.7,,bear_high_vol,40999.99999999966,signal
196,2024-06-28 19:00:00,BUY,210.61,0.25,bear_high_vol,,
197,2024-07-01 08:00:00,SELL,211.09,,bear_high_vol,11999.999999999744,time_exit
198,2024-07-01 09:00:00,BUY,210.99,0.25,bear_high_vol,,
199,2024-07-01 13:00:00,SELL,213.15,,bear_high_vol,53999.99999999991,signal
200,2024-07-11 14:00:00,BUY,226.66,0.25,bear_high_vol,,
201,2024-07-12 13:00:00,SELL,231.35,,bear_high_vol,117249.99999999994,profit_target
202,2024-07-17 13:00:00,BUY,229.01,0.25,bear_high_vol,,
203,2024-07-18 13:00:00,SELL,227.03,,bear_high_vol,-49499.999999999745,time_exit
204,2024-07-18 14:00:00,BUY,226.59,0.25,bear_high_vol,,
205,2024-07-19 09:00:00,SELL,224.85,,bear_high_vol,-43500.000000000226,signal
206,2024-07-24 13:00:00,BUY,221.29,0.25,bear_high_vol,,
207,2024-07-25 08:00:00,SELL,217.14,,none,-103750.00000000015,signal
208,2024-07-25 13:00:00,BUY,215.56,0.25,bear_high_vol,,
