,timestamp,action,price,size,stop_loss,take_profit,regime,pnl,reason
118,2024-03-15 10:00:00,BUY,220.64,534,218.14,225.64,bear_high_vol,,
119,2024-03-15 12:00:00,SELL,222.98,534,,,bear_high_vol,1249.5600000000018,technical
120,2024-03-27 13:00:00,BUY,258.5521,299,256.0521,263.5521,bear_high_vol,,
121,2024-03-27 14:00:00,SELL,264.974,299,,,bear_high_vol,1920.148099999998,stop_or_target
122,2024-03-27 15:00:00,BUY,258.3105,372,255.8105,263.3105,bear_high_vol,,
123,2024-03-27 17:00:00,SELL,259.2,372,,,bear_high_vol,330.8939999999993,stop_or_target
124,2024-04-02 12:00:00,BUY,239.8,614,237.3,244.8,bear_high_vol,,
125,2024-04-02 14:00:00,SELL,245.11,614,,,bear_high_vol,3260.3400000000015,stop_or_target
126,2024-04-05 11:00:00,BUY,246.0,3741,244.19544760913357,249.60910478173284,bear_high_vol,,
127,2024-04-05 12:00:00,SELL,244.1,3741,,,bear_high_vol,-7107.9000000000215,stop_or_target
128,2024-04-16 13:00:00,BUY,214.85,297,212.35,219.85,bear_high_vol,,
129,2024-04-16 14:00:00,SELL,209.86,297,,,bear_high_vol,-1482.0299999999943,stop_or_target
130,2024-04-16 15:00:00,BUY,208.25,485,205.75,213.25,bear_high_vol,,
131,2024-04-16 18:00:00,SELL,215.72,485,,,bear_high_vol,3622.9499999999994,stop_or_target
132,2024-04-17 14:00:00,BUY,213.46,530,210.96,218.46,bear_high_vol,,
133,2024-04-17 15:00:00,SELL,210.68,530,,,bear_high_vol,-1473.4000000000005,stop_or_target
134,2024-04-22 11:00:00,BUY,216.0,1928,213.5,221.0,bear_high_vol,,
135,2024-04-22 13:00:00,SELL,224.445,1928,,,bear_high_vol,16281.959999999986,stop_or_target
136,2024-04-25 12:00:00,BUY,219.38,828,216.88,224.38,bear_high_vol,,
137,2024-04-25 16:00:00,SELL,224.05,828,,,bear_high_vol,3866.760000000013,technical
138,2024-04-29 13:00:00,BUY,225.98,374,223.48,230.98,bull_high_vol,,
139,2024-04-29 14:00:00,SELL,228.72,374,,,bull_high_vol,1024.7600000000034,technical
140,2024-04-30 11:00:00,BUY,215.1,1669,212.6,220.1,bear_high_vol,,
141,2024-04-30 14:00:00,SELL,211.5,1669,,,bear_high_vol,-6008.3999999999905,stop_or_target
142,2024-04-30 15:00:00,BUY,208.865,698,206.365,213.865,bear_high_vol,,
143,2024-04-30 16:00:00,SELL,205.62,698,,,bear_high_vol,-2265.010000000003,stop_or_target
144,2024-05-10 12:00:00,BUY,213.6523,1013,211.1523,218.6523,bull_high_vol,,
145,2024-05-10 14:00:00,SELL,205.66,1013,,,bull_high_vol,-8096.1999000000005,stop_or_target
146,2024-05-10 15:00:00,BUY,204.41,784,201.91,209.41,bear_high_vol,,
147,2024-05-10 19:00:00,SELL,200.5,784,,,bear_high_vol,-3065.4399999999973,stop_or_target
148,2024-05-13 10:00:00,BUY,204.99,1336,202.49,209.99,bear_high_vol,,
149,2024-05-13 14:00:00,SELL,202.85,1336,,,bear_high_vol,-2859.04000000002,stop_or_target
150,2024-05-16 14:00:00,BUY,206.56,391,204.06,211.56,bull_high_vol,,
151,2024-05-16 16:00:00,SELL,202.98,391,,,bull_high_vol,-1399.780000000005,stop_or_target
152,2024-05-17 13:00:00,BUY,201.08,815,198.58,206.08,bear_high_vol,,
153,2024-05-17 14:00:00,SELL,206.18,815,,,bear_high_vol,4156.499999999995,stop_or_target
154,2024-05-23 13:00:00,BUY,222.6477,394,220.1477,227.6477,bear_high_vol,,
155,2024-05-23 15:00:00,SELL,227.87,394,,,bear_high_vol,2057.586200000007,stop_or_target
156,2024-05-24 11:00:00,BUY,222.28,2514,219.78,227.28,bear_high_vol,,
157,2024-05-24 13:00:00,SELL,222.4,2514,,,bear_high_vol,301.68000000001143,technical
158,2024-05-31 13:00:00,BUY,238.0607,520,235.5607,243.0607,bull_high_vol,,
159,2024-05-31 14:00:00,SELL,228.53,520,,,bull_high_vol,-4955.963999999998,stop_or_target
160,2024-05-31 15:00:00,BUY,223.53,484,221.03,228.53,bear_high_vol,,
161,2024-05-31 23:00:00,SELL,226.0,484,,,bear_high_vol,1195.4799999999996,technical
162,2024-06-11 13:00:00,BUY,236.06,522,233.56,241.06,bear_high_vol,,
163,2024-06-11 14:00:00,SELL,242.36,522,,,bear_high_vol,3288.600000000006,stop_or_target
164,2024-06-18 13:00:00,BUY,238.37,842,235.87,243.37,bear_high_vol,,
165,2024-06-18 19:00:00,SELL,235.97,842,,,bear_high_vol,-2020.8000000000047,stop_or_target
166,2024-06-21 13:00:00,BUY,225.135,803,222.635,230.135,bear_high_vol,,
167,2024-06-21 17:00:00,SELL,221.0095,803,,,bear_high_vol,-3312.7764999999904,stop_or_target
168,2024-07-05 13:00:00,BUY,213.5,705,211.0,218.5,bear_high_vol,,
169,2024-07-05 15:00:00,SELL,222.22,705,,,bear_high_vol,6147.599999999999,stop_or_target
170,2024-07-18 15:00:00,BUY,236.71,393,234.21,241.71,bear_high_vol,,
171,2024-07-18 17:00:00,SELL,236.32,393,,,bear_high_vol,-153.2700000000058,stop_or_target
172,2024-07-25 11:00:00,BUY,240.31,2569,237.81,245.31,bear_high_vol,,
173,2024-07-25 12:00:00,SELL,240.5,2569,,,bear_high_vol,488.10999999999416,technical
174,2024-07-25 15:00:00,BUY,235.532,421,233.032,240.532,bear_high_vol,,
175,2024-07-25 18:00:00,SELL,232.78,421,,,bear_high_vol,-1158.592000000004,stop_or_target
176,2024-07-29 14:00:00,BUY,241.59,466,239.09,246.59,bear_high_vol,,
177,2024-07-29 16:00:00,SELL,237.55,466,,,bear_high_vol,-1882.6399999999962,stop_or_target
178,2024-08-01 13:00:00,BUY,225.4295,814,222.9295,230.4295,bear_high_vol,,
179,2024-08-01 14:00:00,SELL,217.47,814,,,bear_high_vol,-6479.032999999993,stop_or_target
180,2024-08-01 15:00:00,BUY,216.665,723,214.165,221.665,bear_high_vol,,
181,2024-08-01 16:00:00,SELL,213.54,723,,,bear_high_vol,-2259.375,stop_or_target
182,2024-08-08 11:00:00,BUY,183.18,2305,180.68,188.18,bear_high_vol,,
183,2024-08-08 13:00:00,SELL,188.5225,2305,,,bear_high_vol,12314.462500000003,stop_or_target
184,2024-08-13 10:00:00,BUY,191.25,2370,189.35113275795317,195.0477344840937,bear_high_vol,,
