DATE TIME,NFR
2017-05-12,39.0
2017-05-13,36.0
2017-05-14,39.0
2017-05-15,44.0
2017-05-16,42.0
2017-05-17,43.0
2017-05-18,42.0
2017-05-19,47.0
2017-05-20,53.0
2017-05-21,56.0
2017-05-22,57.0
2017-05-23,58.0
2017-05-24,59.0
2017-05-25,51.0
2017-05-26,43.0
2017-05-27,49.0
2017-05-28,52.0
2017-05-29,57.0
2017-05-30,58.0
2017-05-31,52.0
2017-06-01,49.0
2017-06-02,56.0
2017-06-03,60.0
2017-06-04,60.0
2017-06-05,57.0
2017-06-06,56.0
2017-06-07,57.0
2017-06-08,52.0
2017-06-09,56.0
2017-06-10,48.0
2017-06-11,38.0
2017-06-12,35.0
2017-06-13,44.0
2017-06-14,52.0
2017-06-15,58.0
2017-06-16,60.0
2017-06-17,64.0
2017-06-18,67.0
2017-06-19,72.0
2017-06-20,70.0
2017-06-21,70.0
2017-06-22,70.0
2017-06-23,72.0
2017-06-24,67.0
2017-06-25,68.0
2017-06-26,63.0
2017-06-27,60.0
2017-06-28,60.0
2017-06-29,60.0
2017-06-30,62.0
2017-07-01,63.0
2017-07-02,63.0
2017-07-03,64.0
2017-07-04,65.0
2017-07-05,65.0
2017-07-06,69.0
2017-07-07,68.0
2017-07-08,71.0
2017-07-09,71.0
2017-07-10,70.0
2017-07-11,67.0
2017-07-12,63.0
2017-07-13,66.0
2017-07-14,67.0
2017-07-15,66.0
2017-07-16,68.0
2017-07-17,67.0
2017-07-18,64.0
2017-07-19,63.0
2017-07-20,62.0
2017-07-21,62.0
2017-07-22,64.0
2017-07-23,67.0
2017-07-24,66.0
2017-07-25,65.0
2017-07-26,65.0
2017-07-27,67.0
2017-07-28,66.0
2017-07-29,67.0
2017-07-30,67.0
2017-07-31,68.0
2017-08-01,70.0
2017-08-02,71.0
2017-08-03,74.0
2017-08-04,72.0
2017-08-05,67.0
2017-08-06,65.0
2017-08-07,64.0
2017-08-08,65.0
2017-08-09,64.0
2017-08-10,64.0
2017-08-11,64.0
2017-08-12,63.0
2017-08-13,63.0
2017-08-14,62.0
2017-08-15,56.0
2017-08-16,58.0
2017-08-17,62.0
2017-08-18,66.0
2017-08-19,67.0
2017-08-20,67.0
2017-08-21,63.0
2017-08-22,62.0
2017-08-23,64.0
2017-08-24,64.0
2017-08-25,65.0
2017-08-26,68.0
2017-08-27,69.0
2017-08-28,70.0
2017-08-29,74.0
2017-08-30,73.0
2017-08-31,68.0
2017-09-01,69.0
2017-09-02,70.0
2017-09-03,70.0
2017-09-04,70.0
2017-09-05,66.0
2017-09-06,65.0
2017-09-07,62.0
2017-09-08,60.0
2017-09-09,60.0
2017-09-10,62.0
2017-09-11,63.0
2017-09-12,63.0
2017-09-13,58.0
2017-09-14,54.0
2017-09-15,56.0
2017-09-16,54.0
2017-09-17,56.0
2017-09-18,55.0
2017-09-19,50.0
2017-09-20,49.0
2017-09-21,42.0
2017-09-22,40.0
2017-09-23,43.0
2017-09-24,46.0
2017-09-25,49.0
2017-09-26,50.0
2017-09-27,51.0
2017-09-28,56.0
2017-09-29,55.0
2017-09-30,53.0
2017-10-01,50.0
2017-10-02,45.0
2017-10-03,42.0
2017-10-04,40.0
2017-10-05,45.0
2017-10-06,47.0
2017-10-07,52.0
2017-10-08,52.0
2017-10-09,45.0
2017-10-10,48.0
2017-10-11,49.0
2017-10-12,43.0
2017-10-13,42.0
2017-10-14,43.0
2017-10-15,48.0
2017-10-16,51.0
2017-10-17,53.0
2017-10-18,52.0
2017-10-19,50.0
2017-10-20,39.0
2017-10-21,38.0
2017-10-22,44.0
2017-10-23,47.0
2017-10-24,55.0
2017-10-25,57.0
2017-10-26,55.0
2017-10-27,55.0
2017-10-28,55.0
2017-10-29,53.0
2017-10-30,49.0
2017-10-31,41.0
2017-11-01,40.0
2017-11-02,42.0
