DATE TIME,BDM
2016-07-25,69.0
2016-07-26,70.0
2016-07-27,71.0
2016-07-28,74.0
2016-07-29,74.0
2016-07-30,74.0
2016-07-31,68.0
2016-08-01,69.0
2016-08-02,69.0
2016-08-03,68.0
2016-08-04,68.0
2016-08-05,62.0
2016-08-06,59.0
2016-08-07,59.0
2016-08-08,60.0
2016-08-09,61.0
2016-08-10,60.0
2016-08-11,62.0
2016-08-12,63.0
2016-08-13,66.0
2016-08-14,68.0
2016-08-15,68.0
2016-08-16,67.0
2016-08-17,65.0
2016-08-18,68.0
2016-08-19,66.0
2016-08-20,66.0
2016-08-21,65.0
2016-08-22,64.0
2016-08-23,63.0
2016-08-24,63.0
2016-08-25,63.0
2016-08-26,63.0
2016-08-27,60.0
2016-08-28,60.0
2016-08-29,64.0
2016-08-30,66.0
2016-08-31,62.0
2016-09-01,61.0
2016-09-02,60.0
2016-09-03,56.0
2016-09-04,49.0
2016-09-05,48.0
2016-09-06,53.0
2016-09-07,60.0
2016-09-08,60.0
2016-09-09,63.0
2016-09-10,64.0
2016-09-11,64.0
2016-09-12,52.0
2016-09-13,42.0
2016-09-14,41.0
2016-09-15,50.0
2016-09-16,57.0
2016-09-17,61.0
2016-09-18,64.0
2016-09-19,64.0
2016-09-20,61.0
2016-09-21,54.0
2016-09-22,42.0
2016-09-23,41.0
2016-09-24,49.0
2016-09-25,61.0
2016-09-26,62.0
2016-09-27,64.0
2016-09-28,62.0
2016-09-29,61.0
2016-09-30,57.0
2016-10-01,48.0
2016-10-02,38.0
2016-10-03,37.0
2016-10-04,41.0
2016-10-05,42.0
2016-10-06,46.0
2016-10-07,51.0
2016-10-08,57.0
2016-10-09,56.0
2016-10-10,54.0
2016-10-11,52.0
2016-10-12,50.0
2016-10-13,50.0
2016-10-14,50.0
2016-10-15,48.0
2016-10-16,47.0
2016-10-17,43.0
2016-10-18,42.0
2016-10-19,42.0
2016-10-20,52.0
2016-10-21,56.0
2016-10-22,55.0
2016-10-23,53.0
2016-10-24,46.0
2016-10-25,46.0
2016-10-26,49.0
2016-10-27,50.0
2016-10-28,46.0
2016-10-29,45.0
2016-10-30,42.0
2016-10-31,38.0
2016-11-01,39.0
2016-11-02,39.0
2016-11-03,48.0
2016-11-04,53.0
2016-11-05,52.0
2016-11-06,48.0
2016-11-07,47.0
2016-11-08,57.0
2016-11-09,57.0
2016-11-10,56.0
2016-11-11,54.0
