date,open,high,low,close,volume,average,barCount,localSymbol,expiry
2024-03-07,5114.25,5170.5,5086.5,5161.75,1791666.0,0.0,0.0,ES=F,
2024-03-08,5159.25,5193.0,5121.75,5129.0,2786680.0,0.0,0.0,ES=F,
2024-03-11,5132.5,5133.25,5094.75,5123.0,1840000.0,0.0,0.0,ES=F,
2024-03-12,5129.0,5183.0,5112.75,5177.25,1211911.0,0.0,0.0,ES=F,
2024-03-13,5176.0,5183.75,5153.0,5168.0,540170.0,0.0,0.0,ES=F,
2024-03-14,5171.5,5189.5,5124.25,5153.75,476074.0,0.0,0.0,ES=F,
2024-03-15,5152.25,5167.0,5101.669921875,5101.669921875,1927775.0,0.0,0.0,ES=F,
2024-03-18,5185.75,5240.25,5181.75,5214.75,1377276.0,0.0,0.0,ES=F,
2024-03-19,5215.25,5244.75,5186.0,5241.75,1440289.0,0.0,0.0,ES=F,
2024-03-20,5239.75,5297.75,5233.0,5286.75,1404974.0,0.0,0.0,ES=F,
2024-03-21,5294.75,5322.75,5293.5,5302.5,1326994.0,0.0,0.0,ES=F,
2024-03-22,5306.75,5311.75,5287.75,5293.25,1162606.0,0.0,0.0,ES=F,
2024-03-25,5290.5,5295.0,5272.5,5278.25,920608.0,0.0,0.0,ES=F,
2024-03-26,5280.75,5300.5,5263.0,5265.25,1092706.0,0.0,0.0,ES=F,
2024-03-27,5273.25,5313.75,5270.75,5308.25,1487671.0,0.0,0.0,ES=F,
2024-03-28,5308.0,5321.0,5301.0,5308.5,1317836.0,0.0,0.0,ES=F,
2024-04-01,5314.25,5333.5,5282.25,5295.25,1125234.0,0.0,0.0,ES=F,
2024-04-02,5294.5,5296.0,5235.0,5260.5,1426691.0,0.0,0.0,ES=F,
2024-04-03,5262.5,5280.75,5244.5,5266.5,1402981.0,0.0,0.0,ES=F,
2024-04-04,5270.75,5308.5,5192.5,5197.25,1941274.0,0.0,0.0,ES=F,
2024-04-05,5199.75,5272.5,5191.5,5253.0,1908306.0,0.0,0.0,ES=F,
2024-04-08,5263.25,5269.25,5236.5,5253.25,1167648.0,0.0,0.0,ES=F,
2024-04-09,5258.0,5274.25,5208.25,5260.25,1651973.0,0.0,0.0,ES=F,
2024-04-10,5264.25,5285.0,5176.5,5207.75,2369864.0,0.0,0.0,ES=F,
2024-04-11,5202.0,5257.5,5173.5,5243.25,1762470.0,0.0,0.0,ES=F,
2024-04-12,5244.0,5248.75,5150.0,5167.5,2005106.0,0.0,0.0,ES=F,
2024-04-15,5166.5,5213.25,5094.0,5104.0,2226105.0,0.0,0.0,ES=F,
2024-04-16,5101.25,5123.25,5078.75,5092.5,2098015.0,0.0,0.0,ES=F,
2024-04-17,5096.25,5120.5,5047.0,5062.25,1928645.0,0.0,0.0,ES=F,
2024-04-18,5063.0,5095.25,5038.5,5049.0,1701401.0,0.0,0.0,ES=F,
2024-04-19,5047.25,5058.0,4963.5,5003.75,2357143.0,0.0,0.0,ES=F,
2024-04-22,5014.25,5076.75,5006.0,5047.5,1584393.0,0.0,0.0,ES=F,
2024-04-23,5051.0,5113.5,5037.75,5106.5,1357493.0,0.0,0.0,ES=F,
2024-04-24,5115.25,5128.75,5072.25,5107.5,1512469.0,0.0,0.0,ES=F,
