DATE TIME,TMR
2017-02-22,24.0
2017-02-23,16.0
2017-02-24,20.0
2017-02-25,22.0
2017-02-26,26.0
2017-02-27,23.0
2017-02-28,24.0
2017-03-01,33.0
2017-03-02,39.0
2017-03-03,40.0
2017-03-04,35.0
2017-03-05,19.0
2017-03-06,21.0
2017-03-07,38.0
2017-03-08,44.0
2017-03-09,48.0
2017-03-10,47.0
2017-03-11,47.0
2017-03-12,49.0
2017-03-13,51.0
2017-03-14,50.0
2017-03-15,46.0
2017-03-16,47.0
2017-03-17,51.0
2017-03-18,47.0
2017-03-19,45.0
2017-03-20,44.0
2017-03-21,36.0
2017-03-22,31.0
2017-03-23,31.0
2017-03-24,34.0
2017-03-25,35.0
2017-03-26,34.0
2017-03-27,33.0
2017-03-28,40.0
2017-03-29,48.0
2017-03-30,32.0
2017-03-31,37.0
2017-04-01,45.0
2017-04-02,45.0
2017-04-03,40.0
2017-04-04,43.0
2017-04-05,46.0
2017-04-06,40.0
2017-04-07,32.0
2017-04-08,26.0
2017-04-09,31.0
2017-04-10,38.0
2017-04-11,39.0
2017-04-12,41.0
2017-04-13,32.0
2017-04-14,35.0
2017-04-15,44.0
2017-04-16,42.0
2017-04-17,40.0
2017-04-18,37.0
2017-04-19,38.0
2017-04-20,38.0
2017-04-21,50.0
2017-04-22,50.0
2017-04-23,42.0
2017-04-24,38.0
2017-04-25,38.0
2017-04-26,43.0
2017-04-27,41.0
2017-04-28,38.0
2017-04-29,42.0
2017-04-30,47.0
2017-05-01,53.0
2017-05-02,54.0
2017-05-03,58.0
2017-05-04,58.0
2017-05-05,51.0
2017-05-06,37.0
2017-05-07,37.0
2017-05-08,44.0
2017-05-09,50.0
2017-05-10,48.0
2017-05-11,50.0
2017-05-12,39.0
2017-05-13,35.0
2017-05-14,35.0
2017-05-15,32.0
2017-05-16,36.0
2017-05-17,38.0
2017-05-18,43.0
2017-05-19,48.0
2017-05-20,53.0
2017-05-21,56.0
2017-05-22,60.0
2017-05-23,62.0
2017-05-24,57.0
2017-05-25,51.0
2017-05-26,49.0
2017-05-27,53.0
2017-05-28,56.0
2017-05-29,59.0
2017-05-30,58.0
2017-05-31,46.0
2017-06-01,50.0
2017-06-02,59.0
2017-06-03,61.0
2017-06-04,58.0
2017-06-05,58.0
2017-06-06,60.0
2017-06-07,58.0
2017-06-08,51.0
2017-06-09,49.0
2017-06-10,45.0
2017-06-11,34.0
2017-06-12,34.0
2017-06-13,48.0
2017-06-14,56.0
2017-06-15,59.0
2017-06-16,66.0
2017-06-17,67.0
2017-06-18,71.0
2017-06-19,73.0
2017-06-20,70.0
2017-06-21,68.0
2017-06-22,70.0
2017-06-23,70.0
2017-06-24,69.0
2017-06-25,68.0
2017-06-26,63.0
2017-06-27,61.0
2017-06-28,60.0
2017-06-29,62.0
2017-06-30,66.0
2017-07-01,64.0
2017-07-02,64.0
2017-07-03,64.0
2017-07-04,66.0
2017-07-05,68.0
2017-07-06,69.0
2017-07-07,71.0
2017-07-08,73.0
2017-07-09,70.0
2017-07-10,68.0
2017-07-11,66.0
2017-07-12,66.0
2017-07-13,65.0
2017-07-14,66.0
2017-07-15,68.0
2017-07-16,68.0
2017-07-17,67.0
2017-07-18,65.0
2017-07-19,64.0
2017-07-20,62.0
2017-07-21,63.0
2017-07-22,69.0
2017-07-23,70.0
2017-07-24,65.0
2017-07-25,63.0
2017-07-26,64.0
2017-07-27,64.0
2017-07-28,66.0
2017-07-29,65.0
2017-07-30,67.0
2017-07-31,69.0
2017-08-01,71.0
2017-08-02,68.0
2017-08-03,65.0
2017-08-04,63.0
2017-08-05,62.0
2017-08-06,61.0
2017-08-07,61.0
2017-08-08,61.0
2017-08-09,61.0
2017-08-10,61.0
2017-08-11,62.0
2017-08-12,62.0
2017-08-13,61.0
2017-08-14,58.0
2017-08-15,55.0
2017-08-16,61.0
2017-08-17,64.0
2017-08-18,64.0
2017-08-19,65.0
2017-08-20,62.0
2017-08-21,60.0
2017-08-22,62.0
2017-08-23,63.0
2017-08-24,62.0
2017-08-25,65.0
2017-08-26,68.0
2017-08-27,70.0
2017-08-28,72.0
2017-08-29,72.0
2017-08-30,67.0
2017-08-31,67.0
2017-09-01,68.0
2017-09-02,70.0
2017-09-03,66.0
2017-09-04,68.0
2017-09-05,64.0
2017-09-06,61.0
2017-09-07,58.0
2017-09-08,57.0
2017-09-09,56.0
2017-09-10,60.0
2017-09-11,62.0
2017-09-12,61.0
2017-09-13,57.0
2017-09-14,50.0
2017-09-15,48.0
2017-09-16,52.0
2017-09-17,52.0
2017-09-18,51.0
2017-09-19,49.0
2017-09-20,49.0
2017-09-21,36.0
2017-09-22,34.0
2017-09-23,37.0
2017-09-24,41.0
2017-09-25,45.0
2017-09-26,49.0
2017-09-27,50.0
2017-09-28,52.0
2017-09-29,52.0
2017-09-30,50.0
2017-10-01,48.0
