Level (AF),incremental In (AF) ,WY 2008,kondolf,Canal Diversions (AF),,,12892.555
"970,201.05","4,213", 595 ,694.2145,8401.97892,,,
"964,722.33","4,786", 597 ,694.2145,7876.35937,,,
"960,340.48","3,072", 498 ,694.2145,7963.63205,,,
"954,256.87","4,026", 306 ,694.2145,8427.76403,,,
"948,855.69","3,471", 490 ,694.2145,8566.60693,,,
"942,575.72","2,793", 490 ,694.2145,8544.78876,,,
"935,639.22","5,050", 494 ,694.2145,8606.27633,,,
"930,894.45","3,769", 476 ,694.2145,8092.5576,,,
"925,399.95","3,180", 447 ,694.2145,7259.5002,,,
"920,179.18","3,763", 447 ,694.2145,7560.98764,,,
"915,240.06","3,939", 447 ,694.2145,8243.30132,,,
"909,795.16","2,638", 443 ,694.2145,8572.55734,,,
"902,723.81","4,877", 443 ,694.2145,8653.87961,,,
"897,810.48","3,227", 443 ,694.2145,8590.40857,,,
"891,310.38","4,054", 443 ,694.2145,7810.90486,,,
"886,416.88","3,285", 445 ,694.2145,6936.19459,,,
"881,626.53","4,017", 437 ,694.2145,7275.36796,,,
"877,236.84","4,185", 429 ,694.2145,7636.3595,,,
"872,662.69","3,560", 429 ,694.2145,7592.72316,,,
"867,507.39","4,024", 429 ,694.2145,7428.09515,,,
"862,980.84","3,977", 429 ,694.2145,6930.24418,,,
"858,904.55","3,378", 431 ,694.2145,5912.72407,,,
"855,244.78","4,306", 429 ,694.2145,5123.30301,,,
"853,304.68","4,003", 423 ,694.2145,5373.22023,,,
"850,817.14","4,465", 417 ,694.2145,5763.96382,,,
"848,406.97","3,985", 415 ,694.2145,5906.77366,,,
"845,375.97","4,391", 415 ,694.2145,6033.71574,,,
"842,624.64","3,638", 415 ,694.2145,6009.9141,,,
"839,143.39","3,148", 415 ,694.2145,5535.86477,,,
"835,646.28","4,231", 415 ,694.2145,5016.19563,,,
"833,751.81","3,013", 415 ,694.2145,5196.6914,,,
"830,458.99","4,826", 413 ,694.2145,5512.06313,,,
"828,665.68","3,552", 415 ,694.2145,5549.74906,,,
"825,559.31","3,523", 413 ,694.2145,5196.6914,,,
"822,778.23","1,825", 413 ,694.2145,4659.17103,,,
"818,836.82","3,096", 413 ,694.2145,4016.52675,,,
"816,809.45","3,618", 413 ,694.2145,3617.84928,,,
